Electrode_number,x_m,elevation_m,line
1,0,1252.50166,Day1
2,4,1252.3142,Day1
3,8,1252.18344,Day1
4,12,1252.03021,Day1
5,16,1251.83091,Day1
6,20,1251.70033,Day1
7,24,1251.63695,Day1
8,28,1251.54819,Day1
9,32,1251.424,Day1
10,36,1251.32873,Day1
11,40,1251.18776,Day1
12,44,1250.95353,Day1
13,48,1250.9291,Day1
14,52,1250.66444,Day1
15,56,1250.72712,Day1
16,60,1250.62898,Day1
17,64,1250.68261,Day1
18,68,1250.65783,Day1
19,72,1250.75082,Day1
20,76,1250.83114,Day1
21,80,1250.76477,Day1
22,84,1250.57438,Day1
23,88,1250.38539,Day1
24,92,1250.27642,Day1
25,96,1250.19474,Day1
26,100,1250.15034,Day1
27,104,1250.1746,Day1
28,108,1250.08622,Day1
29,112,1249.92632,Day1
30,116,1249.70662,Day1
31,120,1249.46808,Day1
32,124,1249.27667,Day1
33,128,1248.97704,Day1
34,132,1248.75334,Day1
35,136,1248.50473,Day1
36,140,1248.42688,Day1
37,144,1248.47874,Day1
38,148,1248.57489,Day1
39,152,1248.49201,Day1
40,156,1248.25296,Day1
41,160,1248.13458,Day1
42,164,1248.05238,Day1
43,168,1247.63909,Day1
44,172,1247.37623,Day1
45,176,1247.06395,Day1
46,180,1246.81246,Day1
47,184,1246.55824,Day1
48,188,1246.24607,Day1
49,192,1245.92785,Day1
50,196,1245.68301,Day1
51,200,1245.22061,Day1
52,204,1244.89655,Day1
53,208,1244.55457,Day1
54,212,1244.13177,Day1
55,216,1243.80514,Day1
56,220,1243.48961,Day1
57,224,1242.0562,Day1
58,228,1241.67589,Day1
59,232,1241.28401,Day1
60,236,1240.85614,Day1
61,240,1240.25889,Day1
62,244,1239.67813,Day1
63,248,1239.10715,Day1
64,252,1238.55143,Day1
65,256,1237.94372,Day1
66,260,1237.29467,Day1
67,264,1236.59873,Day1
68,268,1236.017,Day1
69,272,1235.40707,Day1
70,276,1234.90362,Day1
71,280,1234.27423,Day1
72,284,1233.81675,Day1
73,288,1233.41651,Day1
74,292,1232.92182,Day1
75,296,1232.48159,Day1
76,300,1232.12277,Day1
77,304,1231.76043,Day1
78,308,1231.52046,Day1
79,312,1231.38862,Day1
80,316,1231.19124,Day1
81,320,1231.08488,Day1
1,0,1247.55327,Day2
2,3,1247.6387,Day2
3,6,1247.64223,Day2
4,9,1247.62951,Day2
5,12,1247.57142,Day2
6,15,1247.53302,Day2
7,18,1247.49968,Day2
8,21,1247.48428,Day2
9,24,1247.43172,Day2
10,27,1247.27138,Day2
11,30,1247.01755,Day2
12,33,1246.7978,Day2
13,36,1246.55438,Day2
14,39,1246.5362,Day2
15,42,1246.42651,Day2
16,45,1246.41423,Day2
17,48,1246.33389,Day2
18,51,1246.36746,Day2
19,54,1246.36351,Day2
20,57,1246.41052,Day2
21,60,1246.33172,Day2
22,63,1246.40159,Day2
23,66,1246.58465,Day2
24,69,1246.95521,Day2
25,72,1247.18849,Day2
26,75,1247.50023,Day2
27,78,1247.73048,Day2
28,81,1247.99946,Day2
29,84,1248.15415,Day2
30,87,1248.35769,Day2
31,90,1248.34807,Day2
32,93,1248.29851,Day2
33,96,1248.23865,Day2
34,99,1248.16945,Day2
35,102,1248.1558,Day2
36,105,1248.11015,Day2
37,108,1248.1949,Day2
38,111,1248.33323,Day2
39,114,1248.48637,Day2
40,117,1248.27365,Day2
41,120,1248.1708,Day2
42,123,1248.24746,Day2
43,126,1248.29507,Day2
44,129,1248.38183,Day2
45,132,1248.45798,Day2
46,135,1248.47571,Day2
47,138,1248.59713,Day2
48,141,1248.7048,Day2
49,144,1248.85905,Day2
50,147,1248.91961,Day2
51,150,1249.09476,Day2
52,153,1249.24887,Day2
53,156,1249.30793,Day2
54,159,1249.33709,Day2
55,162,1249.42596,Day2
56,165,1249.46693,Day2
57,168,1249.49558,Day2
58,171,1249.32539,Day2
59,174,1249.20701,Day2
60,177,1249.12404,Day2
61,180,1248.99023,Day2
62,183,1249.0863,Day2
63,186,1249.13586,Day2
64,189,1249.24935,Day2
65,192,1249.28478,Day2
66,195,1249.46998,Day2
67,198,1249.50031,Day2
68,201,1249.56804,Day2
69,204,1249.60394,Day2
70,207,1249.78055,Day2
71,210,1249.88415,Day2
72,213,1249.91929,Day2
73,216,1249.96717,Day2
74,219,1250.01919,Day2
75,222,1250.01349,Day2
76,225,1250.16003,Day2
77,228,1250.20271,Day2
78,231,1250.33404,Day2
79,234,1250.37727,Day2
80,237,1250.5079,Day2
81,240,1250.60871,Day2
